name,skills,interests,level
David0,python computer vision,automation,advanced
Vikram1,cloud computing java machine learning nlp,web development,beginner
Priya2,machine learning data science,full stack automation blockchain,intermediate
Grace3,nlp cloud computing computer vision,iot data analytics,advanced
Ivy4,spring boot cyber security,blockchain,intermediate
Charlie5,data science computer vision cyber security cloud computing,web development,intermediate
Zara6,nlp deep learning cloud computing python,gaming mobile apps,intermediate
Uma7,deep learning computer vision cyber security,robotics,advanced
Henry8,java deep learning,iot automation,beginner
Priya9,react cloud computing,mobile apps automation gaming,advanced
Jack10,nodejs deep learning machine learning,data analytics robotics,advanced
Latha11,nodejs spring boot computer vision cloud computing,blockchain,advanced
Priya12,cloud computing deep learning,data analytics,beginner
Yamini13,python cloud computing,mobile apps data analytics gaming,intermediate
Bob14,machine learning deep learning computer vision,automation blockchain robotics,intermediate
Uma15,react cyber security,ai research robotics,intermediate
Jack16,react data science nlp nodejs,full stack iot robotics,advanced
Charlie17,computer vision cloud computing spring boot deep learning,gaming,advanced
Kiran18,nodejs nlp,iot,intermediate
Jack19,nodejs java,blockchain data analytics,beginner
Eva20,computer vision react python,robotics iot,beginner
Sneha21,machine learning java nodejs spring boot,full stack,advanced
Latha22,nodejs python,data analytics blockchain automation,beginner
Grace23,cloud computing java deep learning,web development,beginner
Frank24,machine learning nlp,data analytics full stack,advanced
Frank25,java nodejs,mobile apps ai research,beginner
Kiran26,spring boot cyber security machine learning nlp,data analytics iot,advanced
Nina27,python cloud computing nlp,iot data analytics blockchain,advanced
Alice28,nlp machine learning,mobile apps iot,intermediate
Grace29,cyber security data science computer vision,gaming ai research,intermediate
David30,spring boot nlp,robotics mobile apps,intermediate
Latha31,cyber security python react,ai research,intermediate
Grace32,java data science nodejs,ai research,intermediate
Omar33,nlp cyber security nodejs,gaming blockchain,advanced
Jack34,nodejs java react python,full stack gaming,advanced
Charlie35,cloud computing java,ai research web development,beginner
Rahul36,computer vision nodejs,blockchain,advanced
Vikram37,java data science machine learning computer vision,gaming,advanced
Yamini38,machine learning nlp spring boot,iot blockchain gaming,intermediate
Xavier39,react spring boot,ai research mobile apps gaming,intermediate
Bob40,nodejs deep learning,automation,intermediate
Vikram41,cloud computing java react machine learning,mobile apps,advanced
David42,spring boot nlp,data analytics,intermediate
Uma43,deep learning nlp java nodejs,ai research web development iot,beginner
Ivy44,computer vision machine learning,automation,advanced
Charlie45,python nlp computer vision,ai research blockchain gaming,advanced
Priya46,java data science,automation ai research,advanced
Grace47,deep learning java cloud computing nodejs,automation gaming data analytics,beginner
Sneha48,cloud computing cyber security,robotics data analytics,intermediate
Tarun49,computer vision nlp data science,automation mobile apps robotics,beginner
Nina50,react cyber security,ai research web development,advanced
Rahul51,java computer vision,automation gaming,advanced
Ivy52,nodejs cyber security python data science,web development gaming full stack,intermediate
Jack53,deep learning cloud computing,robotics iot mobile apps,intermediate
Charlie54,deep learning spring boot,iot,beginner
Latha55,cloud computing computer vision,robotics full stack web development,advanced
Nina56,python computer vision deep learning data science,full stack,beginner
Bob57,cyber security cloud computing data science deep learning,robotics web development data analytics,advanced
Xavier58,nodejs java,full stack blockchain,intermediate
Grace59,nlp cloud computing spring boot,data analytics blockchain,advanced
Frank60,cyber security nlp deep learning data science,blockchain automation,beginner
Zara61,data science spring boot java,web development gaming mobile apps,intermediate
Rahul62,spring boot machine learning,gaming iot robotics,intermediate
